date,Open,High,Low,Close,Volume,MarketCap
2017-02-07,1040.14,1061.93,1040.14,1061.35,146007008,17141080574
2017-02-08,1062.32,1078.97,1037.49,1063.07,201855008,17170799127
2017-02-09,1064.7,1088.99,953.34,994.38,407220000,16063448932
2017-02-10,995.63,998.91,946.69,988.67,190452000,15973053725
2017-02-11,988.9,1009.29,982.83,1004.45,102261000,16229677099
2017-02-12,1003.52,1004.76,996.92,999.18,67530000,16146290349
2017-02-13,998.89,1002.1,976,990.64,100607000,16010322103
2017-02-14,991.73,1011.51,986.47,1004.55,137946000,16237219721
2017-02-15,1006.21,1008.84,1001.58,1007.48,89759400,16286329282
2017-02-16,1007.65,1033.37,1007.65,1027.44,122277000,16610905026
2017-02-17,1026.12,1053.17,1025.64,1046.21,136474000,16916338976
2017-02-18,1049.21,1061.1,1046.96,1054.42,99073504,17051064834
2017-02-19,1054.76,1056.81,1043.46,1047.87,77423296,16946913346
2017-02-20,1048.69,1080.49,1041.69,1079.98,109478000,17468244508
2017-02-21,1079.28,1117.25,1076.93,1115.3,186868992,18041455273
2017-02-22,1114.8,1125.39,1100.55,1117.44,136100000,18077985665
2017-02-23,1117.27,1176.62,1116.96,1166.72,189454000,18877442096
2017-02-24,1172.71,1200.39,1131.96,1173.68,330759008,18992415818
2017-02-25,1170.41,1174.85,1124.59,1143.84,139960992,18511906560
2017-02-26,1144.27,1167.47,1130.2,1165.2,116486000,18860247630
2017-02-27,1163.78,1181.98,1163.38,1179.97,131570000,19101427518
2017-02-28,1180.72,1193.25,1171.82,1179.97,184956000,19103684801
2017-03-01,1180.04,1222.5,1179.69,1222.5,229056992,19794459608
2017-03-02,1224.68,1262.13,1215.62,1251.01,368275008,20258543188
2017-03-03,1250.71,1280.31,1250.71,1274.99,315739008,20649259919
2017-03-04,1277.43,1279.4,1230.51,1255.15,183270000,20329978338
2017-03-05,1254.29,1267.29,1238.06,1267.12,134127000,20526235270
2017-03-06,1267.47,1276,1264.6,1272.83,153656992,20620991547
2017-03-07,1273.21,1275.55,1204.8,1223.54,291256000,19824773912
2017-03-08,1223.23,1232.16,1148.08,1150,332603008,18635275050
2017-03-09,1150.35,1197.46,1141.23,1188.49,212283008,19261188310
2017-03-10,1189.36,1270.47,1077.25,1116.72,563795968,18100188612
2017-03-11,1116.32,1193.83,1116.32,1175.83,283320000,19060468862
2017-03-12,1176.62,1226.98,1175.36,1221.38,227176000,19801195767
2017-03-13,1221.78,1237.37,1217.03,1231.92,380276992,19974334865
2017-03-14,1232.16,1244.81,1220.72,1240,245306000,20107761880
2017-03-15,1240.16,1251.61,1239.75,1249.61,297804992,20265831337
2017-03-16,1251.33,1257.98,1152.44,1187.81,638568000,19265847025
2017-03-17,1180.16,1180.16,1099.57,1100.23,706598976,17847435957
2017-03-18,1099.69,1114.07,957.66,973.82,621302016,15798760668
2017-03-19,976.73,1069.91,976.73,1036.74,406648000,16821676707
2017-03-20,1037.24,1063.03,1036.68,1054.23,286529984,17107266418
2017-03-21,1055.36,1122.43,1055.36,1120.54,337391008,18185299687
2017-03-22,1120.65,1120.65,1014.21,1049.14,380840992,17028630158
2017-03-23,1050.05,1058.01,1028.93,1038.59,248540000,16859314109
2017-03-24,1038.45,1040.47,934.36,937.52,491038016,15220718764
2017-03-25,936.54,975.76,903.71,972.78,435803008,15794781102
2017-03-26,974.02,1007.96,954.19,966.72,303668000,15698465531
2017-03-27,972.05,1046.4,971.98,1045.77,372535008,16983801541
2017-03-28,1044.58,1064.65,1027.73,1047.15,326332000,17008241726
2017-03-29,1046.08,1055.13,1015.88,1039.97,298457984,16893415156
2017-03-30,1042.21,1049.29,1020.04,1026.43,352968992,16675587066
2017-03-31,1026.64,1074.92,1026.64,1071.79,447287008,17414322808
2017-04-01,1071.71,1091.72,1061.09,1080.5,289633984,17557597716
2017-04-02,1080.61,1107.59,1075.45,1102.17,514187008,17911915755
2017-04-03,1102.95,1151.74,1102.95,1143.81,580444032,18591158323
2017-04-04,1145.52,1156.44,1120.52,1133.25,436310016,18421262063
2017-04-05,1134.14,1135.09,1113.63,1124.78,414784000,18285857775
2017-04-06,1125.81,1188.37,1125.81,1182.68,511222016,19229356147
2017-04-07,1178.94,1186.58,1163.39,1176.9,317022016,19137747435
2017-04-08,1172.65,1184.98,1162.58,1175.95,209312000,19124327856
2017-04-09,1176.57,1197.21,1171.86,1187.87,242343008,19320511927
2017-04-10,1187.3,1190.34,1179.04,1187.13,215883008,19310642460
2017-04-11,1187.46,1208.07,1187.46,1205.01,216182000,19604036563
2017-04-12,1204.81,1207.14,1196.76,1200.37,288702016,19530680104
2017-04-13,1201.02,1205.89,1156.44,1169.28,351968992,19026699552
2017-04-14,1170.33,1190.8,1159.79,1167.54,254827008,19000400018
2017-04-15,1167.3,1188,1164.96,1172.52,203559008,19083656460
2017-04-16,1172.61,1187.22,1172.61,1182.94,183231008,19255408766
2017-04-17,1183.25,1194.9,1172.65,1193.91,253206000,19436033390
2017-04-18,1193.77,1217.57,1193.77,1211.67,270524000,19727334977
2017-04-19,1212.13,1215.51,1205.08,1210.29,288060992,19707045565
2017-04-20,1211.08,1240.79,1208.41,1229.08,315108000,20015137622
2017-04-21,1229.42,1235.94,1215.56,1222.05,272167008,19903192286
